"","palabra","media_agrado","media_activacion","media_imaginabilidad"
"804","despedir",0.2,0.6,0.8
"805","trasladar",0.6,1,0.8
"806","bailar",0.2,1,1
"807","enfermedad",-0.8,0,0.8
"808","entrada",0.4,0.2,0.8
"809","firme",0.8,0.2,0.6
"810","anunciar",0.6,0.6,0.8
"811","busca",0.2,0.6,0.6
"812","causa",0.4,0.4,0.2
"813","atacar",-0.6,1,1
"814","muerto",-0.6,-0.6,1
"815","pareja",0.8,0.4,1
"816","comercial",0.2,0.2,0.6
"817","visitar",1,1,1
"818","tirar",-0.2,0.6,0.8
"819","relacionar",0.6,0.8,0.6
"820","cabello",0.6,-0.2,0.8
"821","artista",0.4,0.6,1
"822","espíritu",0.6,0.2,0.8
"823","invitar",0.8,1,0.8
"824","local",0.2,-0.2,0.6
"825","firmar",0.2,1,0.8
"826","teoría",0.6,0,0.6
"827","invierno",0.4,-0.2,1
"828","objetivo",0.2,0.4,0.6
"829","puente",0.6,-0.6,1
"830","lentamente",0,0.4,0.8
"831","imposible",-0.4,0,0.8
"832","sostener",0,0.8,0.6
"833","mercado",0.2,0.4,1
"834","transformar",0.8,0.8,1
"835","cadena",-0.8,0,1
"836","personal",0.6,0.4,0.8
"837","serio",0.2,-0.2,0.8
"838","conocimiento",1,0.4,1
"839","planeta",1,0.4,1
"840","solamente",-0.2,0,0.2
"841","comunicación",0.8,0.8,0.8
"842","etapa",0.2,0.4,0.6
"843","integrar",0.4,0.8,0.8
"844","marca",0,0.6,0.8
"845","categoría",0,0.2,0.4
"846","longitud",0,0,0.4
"847","peor",-0.6,0.2,0.2
"848","campaña",0.2,0.6,0.2
"849","moderno",0.4,0.4,1
"850","colegio",1,0.8,1
"851","vuelo",1,0.6,1
"852","grabar",0.2,0.6,0.6
"853","echar",-0.8,0.6,0.4
"854","asomar",0.4,0.4,0.6
"855","instituto",0.4,0.2,0.6
"856","girar",0.6,1,0.8
"857","novio",0.8,0.4,0.6
"858","apoyo",1,1,0.6
"859","tío",1,0,1
"860","preferir",0.6,0.6,0.4
"861","tamaño",0,-0.2,0.6
"862","emplear",0.4,1,0.6
"863","periodo",0,0,0.4
"864","nave",0.4,0.2,0.8
"865","material",0.2,-0.4,0.6
"866","esfuerzo",0.6,1,1
"867","amplio",0.8,-0.2,1
"868","adquirir",0.2,0.6,0.8
"869","tren",0.4,0,1
"870","error",-0.8,0.4,0.4
"871","secreto",-0.2,0.6,0.2
"872","universo",0.6,0.6,0.6
"873","desconocer",-0.6,-0.4,-0.4
"874","federación",0,0.2,0
"875","cuello",0.6,0.2,1
"876","pintura",0.6,0.4,1
"877","elevar",0.8,1,1
"878","ilusión",0.6,0.8,0.4
"879","grado",0,0,-0.2
"880","palacio",0.8,-0.4,1
"881","cámara",0.6,0.8,1
"882","ruido",-0.6,0.6,1
"883","listo",0.8,0.8,0.4
"884","economía",0,0.8,0
"885","actualidad",0,0.8,0.2
"886","proponer",0.6,1,0.4
"887","poesía",0.8,0.8,1
"888","kilómetro",0,0.4,0.8
"889","callar",0,-0.2,0.8
"890","enseñar",1,1,1
"891","público",0.2,0.2,1
"892","sede",0,-0.4,0.8
"893","aumentar",0.4,1,0.8
"894","sorprender",0.8,1,0.8
"895","cuidar",0.8,1,1
"896","hospital",-0.2,0.6,1
"897","ausencia",-0.8,-0.6,0.8
"898","doler",-0.8,0.4,1
"899","posterior",0,0,0.2
"900","llanto",-0.6,0.6,1
"901","cápita",0,-0.4,0.2
"902","respirar",0.6,1,1
"903","marchar",-0.2,1,1
"904","noticia",0,0,0.8
"905","frase",0.2,-0.2,0.8
"906","próximo",0.2,-0.4,0.2
"907","aproximadamente",0,-0.2,0.2
"908","costar",0,-0.2,0.2
"909","inicio",0.4,0.2,0.8
"910","izquierdo",0.2,0.2,0.4
"911","autoridad",0.2,1,1
"912","vino",0.8,0,1
"913","recuperar",0.4,1,0.8
"914","protagonizar",0.4,1,0.8
"915","comienzo",0.4,0,0.6
"916","influencia",0.4,0.8,0.6
"917","rápidamente",0.2,0.6,0.8
"918","habitar",0.4,0.4,0.6
"919","deportivo",0.6,1,1
"920","nación",0.8,1,0.8
"921","avión",0.6,0.6,1
"922","tranquilo",1,0,1
"923","expresión",0.2,0.6,0.4
"924","raro",0.4,0,0.6
"925","debajo",-0.2,-0.4,0.8
"926","reducir",-0.4,0.8,0.2
"927","diseño",0.6,0.6,0.4
"928","festival",0.8,1,1
"929","azul",0.8,0.2,1
"930","tradicional",0.4,-0.2,1
"931","adelante",0.4,0.2,1
"932","cargar",-0.4,0.6,1
"933","directo",0.6,0.8,0.8
"934","proteger",0.8,1,0.8
"935","pobre",-0.6,-0.2,0.8
"936","placer",1,0.2,1
"937","reloj",-0.2,0.2,1
"938","caricia",1,1,1
"939","motor",0.2,0.8,1
"940","doctor",0.2,0.2,1
"941","presente",0.8,0.4,0.4
"942","completamente",0.6,0.6,0.6
"943","página",0.2,0.4,1
"944","playa",0.8,-0.2,1
"945","robar",-1,0.8,1
"946","señalar",-0.2,0.8,1
"947","totalmente",0.2,-0.2,-0.2
"948","vacío",-0.2,-0.4,0.6
"949","incorporar",0.8,0.8,0.2
"950","matrimonio",0.8,0.6,1
"951","capitán",0.4,0.6,1
"952","generar",0.8,0.8,0.2
"953","salvar",1,1,0.8
"954","señal",0.6,0,1
"955","conducir",0.8,1,1
"956","lago",1,0,1
"957","caballo",1,1,1
"958","golpear",-0.6,0.8,0.8
"959","asi",0.2,0,-0.4
"960","metal",0.4,-0.4,0.8
"961","líder",0.4,1,0.4
"962","lejano",-0.4,-0.4,0.6
"963","abrazo",1,0.2,1
"964","daño",-1,0,0.6
"965","recoger",0.2,0.8,1
"966","consecuencia",-0.2,0,0
"967","encender",0.6,1,1
"968","costumbre",0.2,0,0.2
"969","baño",0.6,0.2,1
"970","liga",0,-0.2,0.2
"971","religioso",-0.2,0,0.4
"972","gota",0.6,-0.4,1
"973","dudar",-0.4,-0.4,-0.2
"974","caja",0,-0.2,1
"975","definir",0.6,0.6,0
"976","atravesar",0.2,0.8,0.4
"977","expresar",0.8,0.8,0.6
"978","medio",-0.2,0,0.4
"979","ave",0.8,0.8,1
"980","soldado",-0.6,0.6,1
"981","templo",0.4,0,0.6
"982","calidad",0.6,0.4,0
"983","envolver",0,0.2,0.6
"984","sexo",0.8,1,1
"985","clima",0.4,0,1
"986","idioma",0.6,0.6,0.2
"987","torneo",0.4,1,0.8
"988","institución",0.2,0.4,0.2
"989","gol",0.8,1,1
"990","tradición",0.4,0.4,0.6
"991","emitir",0.4,1,-0.2
"992","independiente",0.8,0.6,0.2
"993","puro",1,0.2,0.6
"994","sabor",0.6,0.2,0.4
"995","lento",0.2,0.6,0.6
"996","afirmar",0.6,1,0
"997","asunto",0.4,0.4,-0.6
"998","maestro",0.6,0.8,1
"999","asociación",-0.2,0,-0.6
"1000","vencer",0.8,1,1
"1001","revolución",0.8,0.8,0.2
"1002","consistir",0.333,0.333,-1
"1003","algo",0.2,0.2,-0.6
"1004","final",0.286,0.429,0.429
"1005","descansar",1,-0.5,0.625
"1006","funcionar",0.625,0.875,0.5
"1007","gusto",0.571,0.143,0.429
"1008","concepto",0.375,0,-0.625
"1009","temor",-0.75,0.25,0.875
"1010","conciencia",0.375,0.375,-0.125
"1011","introducir",0.25,0.875,0.875
"1012","hombro",0.3,0,1
"1013","rojo",0.2,0.1,1
"1014","fallecer",-0.8,-0.3,0.8
"1015","mamá",0.9,0.3,1
"1016","oído",0.2,0.3,0.9
"1017","geográfico",0.182,-0.091,0.273
"1018","erar",-0.286,0.286,-0.286
"1019","asegurar",0.454,0.818,-0.182
"1020","contemplar",0.636,-0.091,0.818
"1021","esquina",0.083,0,1
"1022","cuanto",0.111,0,-0.333
"1023","gato",0.727,0.182,0.909
"1024","encargar",0.1,0.8,0.4
"1025","estadio",0.333,0.111,1
"1026","curso",0.111,-0.111,0.778
"1027","recién",0.25,0.375,0.625
"1028","animar",0.714,0.857,0.571
"1029","foto",0.571,-0.429,0.857
"1030","terreno",0.286,-0.429,1
"1031","locura",-0.143,0.857,0.429
"1032","corte",-0.333,0,0.5
"1033","salud",0.6,-0.4,0.6
"1034","auto",0,0.4,1
"1035","temperatura",0,0.4,0.6
"1036","intención",0,0,-0.333
"1037","dividir",-0.167,0.5,0.333
"1038","mentira",-0.167,0.333,0.667
"1039","desnudo",0.333,-0.167,1
"1040","depender",-0.4,0,0.4
"1041","cristal",0.4,-0.6,0.8
"1042","marcha",-0.167,0.333,0.5
"1043","tarea",0,0.333,1
"1044","superar",1,0.857,0.286
"1045","crítico",0.143,0.571,0.429
"1046","frontera",0,-0.714,0.429
"1047","evento",0,0.714,0
"1048","apagar",-0.143,0.429,0.571
"1049","teléfono",0.125,0.125,0.75
"1050","haz",0.375,0.25,0
"1051","profesional",0.375,0.25,0.25
"1052","clásico",0.625,-0.375,0.125
"1053","tono",0.125,-0.125,-0.375
"1054","primero",0.75,0.5,0.5
"1055","controlar",-0.25,1,0.25
"1056","derecha",-0.25,-0.25,0.5
"1057","cocina",0.625,0.125,0.875
"1058","disputar",-0.222,0.778,0
"1059","raíz",0.222,-0.111,0.556
"1060","seco",-0.222,-0.333,0.333
"1061","mediar",0.667,0.778,0
"1062","designar",0,0.375,0
"1063","gesto",0.5,0.333,0.333
"1064","detalle",0.6,-0.2,0.4
"1065","olvido",-1,-0.2,0.6
"1066","confundir",-0.5,0,0.833
"1067","diario",0.286,0.143,0.286
"1068","punta",0,0.286,0.571
"1069","ambiente",0.714,-0.286,0.429
"1070","comida",1,0,1
"1071","administración",0,0.167,0.5
"1072","recurso",0.333,0.167,0.333
"1073","contacto",0.667,0.667,0.5
"1074","literatura",1,0.167,1
"1075","guitarra",1,1,1
"1076","mensaje",0.333,0.167,0.667
"1077","completar",0.429,0.571,0.571
"1078","acceso",0.143,-0.143,0
"1079","gris",-0.143,-0.714,0.857
"1080","iluminar",0.714,0.571,0.714
"1081","soportar",-0.75,-0.25,0.375
"1082","igual",0.286,0.143,0.286
"1083","método",0.286,0.286,0
"1084","herir",-0.857,1,0.714
"1085","aragón",0,-0.4,-0.2
"1086","claro",1,-0.167,0.667
"1087","finalizar",0.8,1,0.4
"1088","rincón",0.2,0,1
"1089","concierto",0.833,0.5,1
"1090","defender",0.5,0.667,0.5
"1091","odiar",-1,0.667,0.167
"1092","hasta",-0.167,-0.167,-0.167
"1093","masa",0.167,-0.167,0.333
"1094","fundación",0.5,0.5,-0.167
"1095","límite",0.143,0.571,0.571
"1096","privar",-0.833,0.167,-0.167
"1097","federal",0.4,0,-0.4
"1098","rayo",0.2,1,1
"1099","congreso",0,0.4,0.4
"1100","pretender",0,0.6,-0.2
"1101","saltar",0.8,0.8,1
"1102","coleóptero",-0.4,0.4,-0.2
"1103","instalar",0.2,0.8,0.2
"1104","hueso",-0.4,-0.8,1
"1105","pan",1,-0.2,1
"1106","entero",0.2,-0.2,0.2
"1107","valer",0.6,0.2,-0.6
"1108","generalmente",0,0.2,-0.4
"1109","inmediato",0,0.8,0.2
"1110","rumbo",0.429,0.143,0.571
"1111","inmenso",0.6,-0.4,0.8
"1112","impedir",-0.8,1,0.6
"1113","sorpresa",1,0.6,0.4
"1114","extrañar",-0.6,0.4,1
"1115","compuesto",0,0,0
"1116","estudiante",0.8,0.8,1
"1117","pleno",0.714,0.286,-0.286
"1118","diseñar",0.4,1,0.2
"1119","san",0.6,0.2,0.2
"1120","paisaje",0.857,-0.286,0.857
"1121","armar",0.571,0.857,0.714
"1122","generación",0.143,0,0.143
"1123","reflejar",0.286,0.143,0.857
"1124","acordar",0.8,0.2,1
"1125","culpa",-1,0,0.4
"1126","medir",0,0.833,0.667
"1127","emoción",0.833,0.5,0.333
"1128","morfología",0,-0.333,-0.833
"1129","cuestión",-0.2,-0.2,-0.4
"1130","emperador",0,0.2,0.8
"1131","arena",0.8,0,1
"1132","ritmo",0.8,0.4,0.4
"1133","misión",0.2,0.2,0.6
"1134","durar",0.2,0.2,0.8
"1135","conflicto",-0.833,0.333,0.833
"1136","descripción",0,0.2,0.2
"1137","rico",1,0.4,1
"1138","brillar",1,0.6,1
"1139","aeropuerto",0.2,0,1
"1140","aprovechar",0.4,0.8,0.8
"1141","the",0,0,-0.2
"1142","viejo",-0.2,-0.2,1
"1143","constante",0.2,0,0.8
"1144","biografía",0.333,0,0.5
"1145","silla",0.167,-0.5,0.833
"1146","dicha",0.833,0.167,0.667
"1147","justo",0.667,-0.167,0.5
"1148","coordenada",0,0,0.833
"1149","negocio",0.167,0.167,0.5
"1150","visión",0,0.667,0.5
"1151","ultimar",-0.333,0.5,0.167
"1152","mejor",0.667,-0.167,0.167
"1153","local",0.167,-0.167,0
"1154","participación",0.667,1,0.5
"1155","justicia",0.833,0.5,0.667
"1156","gobernar",0.4,0.8,0.8
"1157","pintar",0.8,1,1
"1158","diente",0,0,1
"1159","interesar",0.6,1,0.6
"1160","aparición",0,0.2,1
"1161","localizar",0.4,1,0.4
"1162","técnico",0.4,0.2,0.8
"1163","artístico",0.6,0.4,0.6
"1164","convencer",0,0.8,0.6
"1165","particular",0,-0.2,-0.2
"1166","asustar",-0.8,1,1
"1167","hábitat",0.2,-0.2,0.4
"1168","enemigo",-0.8,0.6,0.8
"1169","mezclar",0.2,0.8,1
"1170","requerir",0,0.4,-0.2
"1171","literario",0.8,-0.4,0.4
"1172","primavera",0.8,0.2,1
"1173","escalera",0.2,0.2,1
"1174","médico",0,0.2,1
"1175","colección",0.2,-0.2,0.2
"1176","instrumento",0.4,0.4,1
"1177","intenso",0.4,0.2,-0.2
"1178","quizá",0.2,-0.4,-0.4
"1179","carga",-0.2,-0.2,-0.2
"1180","vehículo",0.2,0.4,0.6
"1181","invadir",-0.8,1,0.6
"1182","ocultar",-0.2,0,0.6
"1183","dejo",0,-0.8,-0.2
"1184","referencia",0.2,-0.2,-0.8
"1185","secretario",0,0.4,0.8
"1186","humanidad",0.8,0.2,0.6
"1187","comentar",0.4,0.8,0.6
"1188","actuación",0.4,1,0.8
"1189","guardia",0.2,0.4,0.6
"1190","dibujar",1,1,1
"1191","destinar",0.2,0.6,-0.2
"1192","escenario",0.4,0,0.6
"1193","combate",-0.6,1,0.4
"1194","visita",0.4,0.6,0.4
"1195","hambre",-1,0.6,0.6
"1196","alimento",0.8,0.4,0.8
"1197","femenino",1,0.8,0.6
"1198","quemar",0.2,0.8,0.8
"1199","doble",0.2,0,0.2
"1200","ingresar",0.4,0.8,0.4
"1201","asesinar",-0.4,1,0.8
"1202","academia",0,-0.4,0.6
"1203","regalo",0.8,0,0.6
"1204","probablemente",0.2,0.2,-0.2
"1205","conformar",0.2,0.4,-0.4
"1206","muro",-0.2,-0.2,1
"1207","tender",0,0.6,0.4
"1208","coche",0.4,0.4,0.8
"1209","aéreo",0.4,0.6,0.8
"1210","eléctrico",0,0.833,0.667
"1211","castilla",0,-0.2,-0.2
"1212","plaza",0.5,0.667,1
"1213","húmedo",-0.167,-0.167,0.833
"1214","cuadro",0.2,-0.8,1
"1215","rosa",0.4,-0.4,1
"1216","cariño",0.8,1,0.8
"1217","aplicar",0.2,0.8,-0.4
"1218","mejorar",0.8,1,0
"1219","breve",0.2,0.2,-0.2
"1220","atrapar",-0.4,0.8,0.2
"1221","escudo",-0.2,0.2,1
"1222","campeón",0.6,1,0.6
"1223","otorgar",0.6,1,0.2
"1224","lenguaje",0.4,0.4,0.2
"1225","monte",0.2,-0.2,1
"1226","extremo",0,0.4,0.2
"1227","ejercer",-0.2,1,0
"1228","flotar",0.6,0.2,0.8
"1229","diario",0,0.4,1
"1230","probar",0.8,1,0.4
"1231","fase",0,-0.6,-0.4
"1232","industria",-0.2,0.6,0.8
"1233","afectar",-0.4,1,0
"1234","deslizar",0.2,1,0.8
"1235","marido",0.2,0,0.8
"1236","contrato",0,0.2,0.6
"1237","arqueológico",0,-0.4,1
"1238","liberar",0.8,1,0.6
"1239","caballero",0.6,0.6,0.8
"1240","alimentar",0.8,1,1
"1241","variar",0.4,0.6,0.4
"1242","orilla",0.333,-0.5,1
"1243","inferior",-0.4,-0.4,0.6
"1244","hotel",0.833,-0.333,1
"1245","salón",0.333,-0.333,1
"1246","sala",0.2,-0.4,1
"1247","máquina",0,0.8,0.8
"1248","biblioteca",0.8,-0.4,1
"1249","materia",0,-0.2,0
"1250","infierno",-0.8,0.2,0
"1251","fijar",0.4,1,0.6
"1252","repente",0,0.2,-0.8
"1253","extensión",0.4,-0.4,0.4
"1254","regreso",0.6,0.8,0.6
"1255","solitario",-0.2,-1,0.8
"1256","representación",0.4,0.4,-0.2
"1257","comisión",-0.2,0.6,0.6
"1258","publicación",0.6,0.6,0.6
"1259","aliento",0,0.6,0.6
"1260","asumir",0.2,0.8,0.4
"1261","exterior",0,-0.4,0.4
"1262","techo",0.4,-0.2,1
"1263","tecnología",0.2,0,1
"1264","directamente",0.4,0.6,0.8
"1265","conversación",1,1,1
"1266","físico",0.4,-0.2,0.6
"1267","voluntad",0.667,0.667,0.333
"1268","absoluto",0.167,0.5,0.167
"1269","actriz",0.333,0.5,1
"1270","horizonte",1,-0.667,0.833
"1271","sur",0.833,-0.167,0.833
"1272","polvo",0,0.167,1
"1273","tormenta",0,0.833,1
"1274","susurrar",0.667,0.5,1
"1275","caracterizar",0,0.833,0.333
"1276","periódico",0.2,0,0.8
"1277","típico",0.2,0,0.2
"1278","juventud",0.6,0.2,0.8
"1279","botánico",0.6,-0.2,0.6
"1280","princesa",0,-0.2,0.8
"1281","política",-0.2,0.4,0.4
"1282","brillante",0.4,0,0.8
"1283","rama",0.2,-0.4,0.8
"1284","presión",-0.4,0.4,0.4
"1285","transporte",-0.2,0.8,0.8
"1286","prestar",0.4,0.2,0.6
"1287","llegada",0.6,0.6,0.6
"1288","añadir",0,0.6,0.8
"1289","labor",0.2,1,0.8
"1290","respecto",0,0,-0.4
"1291","religión",-0.4,0,0.8
"1292","precio",-0.2,0.2,0.8
"1293","distinguir",0,0.6,0.6
"1294","rechazar",-0.6,0.4,0.8
"1295","brisa",1,0.4,0.8
"1296","verso",-0.4,0.4,0.4
"1297","aroma",0.8,0.6,0.8
"1298","oponer",0,0.6,0.8
"1299","montar",0.8,0.8,0.8
"1300","columna",0.2,0.2,0.8
"1301","mierda",-0.4,0.2,0.8
"1302","falso",-0.6,0.2,0.6
"1303","solución",0.4,0.6,0.6
"1304","escaso",-0.4,0,0.4
"1305","arrancar",0,0.6,0.8
"1306","amante",0.6,0.6,0.8
"1307","susurro",0.8,0.4,0.8
"1308","código",0.4,0.4,0.8
"1309","búsqueda",0.2,1,0.8
"1310","constitución",0.4,0.2,0.4
"1311","patio",0.4,0,0.8
"1312","voto",0.4,0.8,1
"1313","regional",0.2,0,0.8
"1314","pérdida",-0.8,-0.4,0.4
"1315","imponer",-0.6,1,0.2
"1316","mágico",0.6,0.2,-0.2
"1317","documento",0,-0.2,0.8
"1318","fantasma",-0.2,0,0.6
"1319","gira",0.2,0.6,0.4
"1320","capilla",-0.2,-0.2,0.8
"1321","leyenda",0.6,0,0.2
"1322","interior",0.4,0,0.4
"1323","mejilla",0.6,-0.2,0.8
"1324","pedazo",0,0,0
"1325","sección",0,0.2,-0.4
"1326","pájaro",1,0.6,0.8
"1327","demonio",-0.6,0.4,0.4
"1328","obispo",-0.2,0.2,0.6
"1329","suspiro",1,0,0.6
"1330","humo",-0.2,0,0.6
"1331","papa",0.2,-0.2,0.8
"1332","roca",0.2,-0.6,0.6
"1333","víctima",-0.6,-0.6,-0.4
"1334","colgar",0,0.6,0.2
"1335","individuo",0,-0.2,-0.4
"1336","titular",0,0.2,-0.2
"1337","ajeno",0,0,-0.4
"1338","crecimiento",1,1,0
"1339","variedad",0.8,0,0.4
"1340","príncipe",0.6,0.2,0.8
"1341","alumno",0.6,0.2,0.8
"1342","frecuencia",0,0.4,-0.4
"1343","terrible",-0.4,0.4,0.6
"1344","merecer",0.4,0.2,0.2
"1345","caída",-0.4,0.6,0.8
"1346","dólar",0,-0.6,1
"1347","deporte",0.8,1,0.8
"1348","provenir",0,-0.4,-0.4
"1349","llave",0.167,-0.5,1
"1350","compositor",0.833,0.5,0.333
"1351","latir",0.833,1,0.667
"1352","aplicación",0.167,0.333,0.167
"1353","presente",0.333,0,0.167
"1354","exposición",0.333,0.667,0.833
"1355","interno",0.167,-0.167,-0.333
"1356","sexual",0.857,1,1
"1357","máximo",0.333,0.333,0.5
"1358","actitud",0.5,0.833,0.833
"1359","carcajada",1,1,1
"1360","catedral",0.8,-0.2,1
"1361","encerrar",-0.6,0.6,1
"1362","arrastrar",-0.8,1,1
"1363","católico",0,0,0.6
"1364","devolver",0.4,0.8,0.8
"1365","relato",0.6,0.4,1
"1366","composición",0.4,0.4,0.4
"1367","nacimiento",0.8,0.4,1
"1368","asentamiento",-0.4,0.2,0.8
"1369","símbolo",0.6,0,0.8
"1370","contenido",0.4,0.2,0
"1371","vestido",0.8,-0.2,1
"1372","crisis",0,0.4,0.4
"1373","magia",1,0.8,0.6
"1374","video",0.2,0.2,0.6
"1375","científico",0.8,0.4,0.8
"1376","papá",1,1,1
"1377","barco",0.8,0.6,1
"1378","comandante",0,0.8,0.6
"1379","banda",0.6,0.2,0.2
"1380","continuo",-0.2,-0.6,0.2
"1381","comercio",0,0.2,0.6
"1382","seriar",-0.2,0.6,-0.2
"1383","resolver",0.4,1,0.2
"1384","cola",0.4,-0.4,0.8
"1385","duque",0,-0.6,0.4
"1386","inspirar",1,0.4,0.2
"1387","diputado",-0.6,0.2,1
"1388","familiar",0.6,0.4,0.8
"1389","dominio",0.2,0.4,0.2
"1390","derecho",0.2,0,-0.2
"1391","filosofía",0.6,0,0
"1392","reinar",0,1,0.8
"1393","caber",0.2,0.6,0.6
"1394","eliminar",0,1,1
"1395","and",0,-0.2,0
"1396","regalar",1,1,0.8
"1397","esencia",1,-0.8,1
"1398","toma",0.2,0.8,0.2
"1399","derivar",0.4,1,0.4
"1400","pegar",-0.4,1,0.8
"1401","vaso",0.2,-0.2,1
"1402","normal",-0.2,-0.4,0
"1403","ligero",0.8,0,0.4
"1404","régimen",-0.6,0,0.2
"1405","gobernador",-0.4,0.4,1
"1406","amanecer",1,-0.4,1
"1407","cantante",0.8,0.8,1
"1408","activo",0.4,0.8,0
"1409","divino",0.6,-0.6,0.4
"1410","sobrevivir",0,0.8,0.6
"1411","reconocimiento",0.8,0.8,0.4
"1412","infinito",0.8,-0.4,-0.6
"1413","monumento",0.4,-0.8,0.8
"1414","madera",0.6,-0.4,1
"1415","arquitectura",0.4,-0.4,0.4
"1416","graduar",0,0.8,0.4
"1417","asistir",0.4,1,0.8
"1418","ola",0.6,0.6,1
"1419","candidato",0,0.2,0.4
"1420","círculo",0.4,-0.2,1
"1421","pobreza",-0.8,-0.2,0.8
"1422","volumen",0.2,0,-0.2
"1423","prometer",0,0.6,0
"1424","cerebro",0.2,0.6,0.6
"1425","interior",0.2,-0.2,0.4
"1426","espada",0.4,1,1
"1427","opinión",0.4,0.8,0
"1428","nota",0.6,0,0.4
"1429","odio",-1,1,0.6
"1430","sierra",0,0,1
"1431","botella",0,-0.4,1
"1432","partida",0,0.2,0.2
"1433","prohibir",-0.8,0.2,0.4
"1434","citar",0,0.2,0.2
"1435","acá",0.2,-0.2,-0.2
"1436","proporcionar",0.4,0.6,0.4
"1437","núcleo",0.4,-0.2,0.2
"1438","práctico",0,0.4,0
"1439","izquierda",0.4,0.4,0.8
"1440","identificar",0,0,0.2
"1441","general",0.2,-0.2,0.4
"1442","disparar",-0.4,1,1
"1443","nariz",0,0.2,0.8
"1444","constitucional",0.6,0.6,-0.2
"1445","transmitir",0.2,1,0.2
"1446","infancia",1,0.4,1
"1447","océano",1,0.8,1
"1448","editar",0.2,0.6,0.4
"1449","encima",0.4,0.4,0.6
"1450","instalación",0,0.4,0.2
"1451","periodista",0,0.6,1
"1452","perseguir",-0.4,1,0.4
"1453","enterar",0.2,0.4,-0.4
"1454","peligro",-1,0.8,0.4
"1455","vivienda",0.8,0,1
"1456","macho",0,1,1
"1457","grabación",0.2,0.4,0.8
"1458","garganta",0.2,0,0.8
"1459","zapato",0.4,0,1
"1460","aventura",0.8,1,0.4
"1461","grave",-0.4,0,-0.2
"1462","reacción",0.2,0.8,0
"1463","aferrar",0.4,0.6,0.4
"1464","dibujo",0.8,-0.2,1
"1465","americano",0.2,-0.2,0.4
"1466","inmediatamente",-0.2,0.6,0
"1467","amistad",1,0.5,0.667
"1468","desierto",0.333,0,0.667
"1469","revelar",0.333,0.667,0.333
"1470","marco",0.167,-0.5,1
"1471","hundir",-0.667,0.5,1
"1472","ferrocarril",0.667,0.667,1
"1473","secundario",0.167,0.167,0.333
"1474","tumba",-0.5,-0.667,1
"1475","temblar",-0.5,0.5,0.833
"1476","salar",0,0.333,0.667
"1477","exponer",0.4,0.6,0.4
"1478","sabio",1,0.8,0.6
"1479","atrever",0.4,0.6,0.2
"1480","acostumbrar",-0.2,-0.2,0
"1481","estrenar",0.4,1,0.4
"1482","pintor",0.6,0.2,1
"1483","habia",0.4,-0.6,-0.4
"1484","capítulo",0.2,0.2,0.4
"1485","circunstancia",-0.2,0.2,-0.4
"1486","bolsillo",0.2,-0.8,1
"1487","operar",0,0.6,0.6
"1488","reflejo",0.4,-0.4,1
"1489","sucio",-0.8,-0.4,1
"1490","militar",-0.6,0,1
"1491","asiento",0,-0.8,1
"1492","músico",0.8,0.2,1
"1493","comunicar",0.6,0.6,0.8
"1494","ligar",0,0.667,0
"1495","atraer",0.8,0.6,0.2
"1496","molestar",-1,0.8,0.6
"1497","registrar",0,0.6,0.2
"1498","herido",-0.8,-0.8,1
"1499","ancho",0,0,1
"1500","ministerio",-0.2,-0.4,0.2
"1501","comentario",0.4,0.6,0.6
"1502","habitual",-0.2,0,0
"1503","consumir",-0.2,0.6,0.6
"1504","propósito",0.8,0.2,-0.6
"1505","básico",0,-0.2,-0.2
"1506","bar",0.4,-0.6,1
"1507","inventar",1,1,0.8
"1508","torno",-0.2,0.4,0.8
"1509","ayuntamiento",-0.167,0.167,0.167
"1510","mínimo",0,0,0
"1511","agregar",0,1,0.5
"1512","tratamiento",-0.333,0.667,0.667
"1513","facultad",0.333,0,0.667
"1514","cristo",0.333,0.167,1
"1515","nervioso",-1,0.6,1
"1516","inaugurar",0.5,1,1
"1517","condenar",-0.667,1,0.5
"1518","profundidad",0.333,-0.333,0.5
"1519","profesional",0.333,0.333,0.333
"1520","bonito",1,-0.5,0.833
"1521","buque",0,-0.167,1
"1522","confirmar",0,0.833,0.167
"1523","latino",0.4,-0.2,1
"1524","personalidad",0.2,0.2,-0.4
"1525","huella",0,-0.2,1
"1526","protección",0.4,1,0.8
"1527","moneda",0,-0.6,1
"1528","apreciar",0.8,1,0.2
"1529","juicio",-0.2,0.8,0.8
"1530","bolsa",0,-0.4,1
"1531","expedición",0.8,1,1
"1532","estremecer",-0.2,1,0.4
"1533","trabajador",0.2,0.8,0.8
"1534","tropical",1,0,1
"1535","coger",0.4,0.8,1
"1536","ciento",0,-0.2,-0.4
"1537","pantalla",0,-0.4,0.6
"1538","entorno",0.2,-0.6,-0.2
"1539","interpretación",0.2,0.8,0
"1540","verme",0.2,0.6,0.4
"1541","patrón",-0.2,0,0.8
"1542","misterio",0,0.6,0.4
"1543","clasificar",0.2,0.8,0.6
"1544","riesgo",-0.8,0.6,0.8
"1545","angustia",-0.8,0,0.8
"1546","infantil",0.4,0.6,0.8
"1547","saludar",0.6,1,0.6
"1548","tienda",0.2,0.4,0.6
"1549","célula",0,0.6,0.6
"1550","gemir",0,0.2,0.6
"1551","accidente",-0.8,-0.2,1
"1552","parroquia",0.4,-0.2,0.6
"1553","desempeñar",0.6,0.6,0.2
