"","palabra","media_agrado","media_activacion","media_imaginabilidad"
"186","usar",0,0.8,0.2
"187","empezar",0.4,1,0
"188","tomar",0,0.6,0.8
"189","pesar",-0.4,0.2,0.4
"190","equipo",0.8,0.4,0.8
"191","ciudad",0.4,0.4,1
"192","juego",1,1,0.8
"193","provincia",0.6,0,0.8
"194","gran",0.4,0.2,0.6
"195","general",0.2,-0.2,-0.6
"196","morir",-0.6,0.4,0.6
"197","nacer",0.8,1,0.8
"198","niño",0.6,0.8,1
"199","mayor",0.333,0.167,1
"200","recibir",0.667,0.167,0.667
"201","serie",0.333,0.167,0
"202","silencio",0.667,-0.167,1
"203","realidad",0.333,0.333,0.667
"204","real",0.333,0.333,0.5
"205","proyecto",0.5,0.167,0.667
"206","estudio",0.5,0.5,0.5
"207","tocar",0.333,0.833,0.833
"208","conseguir",0.333,0.5,0.667
"209","película",0,0.143,0.571
"210","mes",0.2,0,0.2
"211","sol",0.4,0.6,1
"212","diferente",0.6,0.4,0
"213","ganar",0.6,0.8,0.4
"214","isla",0.8,0,0.8
"215","censo",0,0.6,0.2
"216","intentar",0.8,0.6,0.4
"217","mostrar",0.6,0.6,0.8
"218","viejo",0.2,0.2,0.4
"219","humano",0.8,0.8,0.8
"220","caminar",0.8,1,1
"221","pie",0,0.4,0.8
"222","orden",0.167,0.333,0.5
"223","gustar",0.833,0.833,0.333
"224","llorar",-0.833,0.833,0.833
"225","levantar",-0.2,0.6,0.4
"226","cara",0.4,-0.2,0.2
"227","rostro",0.2,0,0.2
"228","señor",-0.2,0.2,0.4
"229","música",1,0.6,0.2
"230","raza",-0.2,0.4,1
"231","idea",0.8,1,0.4
"232","viento",0.6,0.6,0.6
"233","iglesia",-0.6,0,1
"234","través",0,0,-1
"235","problema",-0.8,0.4,0.4
"236","álbum",0.2,0.2,0.6
"237","desear",0.6,0.8,0.2
"238","boca",0.4,0.4,1
"239","mente",0.6,0.4,0
"240","imagen",0.4,0,0.6
"241","miedo",-1,0.8,0.6
"242","época",0,0,0
"243","acabar",0.2,0.6,0.2
"244","piel",0.6,0,1
"245","carrera",0.2,0.8,1
"246","construir",0.8,1,1
"247","obtener",0.4,1,-0.2
"248","brazo",0.2,-0.2,1
"249","fuerte",0.6,0.8,0.2
"250","demografía",0,-0.167,-0.5
"251","club",0.667,0.5,0.667
"252","publicar",0.167,1,0.333
"253","resto",0.167,0,-0.167
"254","observar",0.333,0.667,0.667
"255","situar",0,0,0
"256","temporada",0.333,0.167,-0.333
"257","lanzar",0.333,1,0.833
"258","cerrar",-0.333,1,1
"259","servicio",0.6,0.4,-0.4
"260","beso",1,1,1
"261","presidente",-0.2,0.8,1
"262","sentido",0.4,0.4,-0.4
"263","sonrisa",1,1,1
"264","necesitar",0.4,1,0
"265","razón",0.6,0.6,-0.2
"266","miembro",0.4,0.6,0.8
"267","movimiento",0.6,0.6,0.8
"268","regresar",0.4,1,0.8
"269","relación",1,1,0.4
"270","frente",0,0,0.2
"271","escuela",0.8,1,1
"272","papel",0.4,0.4,0.8
"273","línea",0.2,0,1
"274","destacar",0.6,0.8,0.2
"275","ejemplo",0.2,0.6,0
"276","descubrir",1,1,0.4
"277","servir",0,0.8,0.4
