"","word","media_agrado","media_activacion","media_imaginabilidad","sd_agrado","sd_activacion","sd_imaginabilidad","tipo"
"84","gente",2.4,2.2,3,0.5477,1.0954,0,"sustantivo"
"85","principal",2.8,2.2,2.2,0.4472,0.8367,0.8367,"adjetivo"
"86","tan",2,1.8,1.4,0,0.4472,0.8944,"adverbio"
"87","mejor",2.8,2.4,2.2,0.4472,0.5477,0.8367,"adjetivo"
"88","único",2.4,2.2,2.6,0.5477,0.8367,0.8944,"adjetivo"
"89","vez",2,2,1.8,0,0.7071,0.8367,"sustantivo"
"90","camino",2.6,2.4,2.6,0.5477,0.8944,0.8944,"sustantivo"
"91","recuerdo",2.2,1.8,3,0.8367,1.0954,0,"sustantivo"
"92","mujer",2.6,2.6,3,0.5477,0.5477,0,"sustantivo"
"93","metro",2.1667,2,3,0.4082,0.8944,0,"sustantivo"
"94","importante",2.3333,2.3333,2.3333,0.8165,0.8165,0.8165,"adjetivo"
"95","universidad",2.7143,2.8571,3,0.488,0.378,0,"sustantivo"
"96","siglo",2,1.2,2.6,0,0.4472,0.5477,"sustantivo"
"97","color",2.4,2,3,0.5477,0.7071,0,"sustantivo"
"98","mano",2.2,2,3,0.4472,0,0,"sustantivo"
"99","estado",1.8,1.8,1.8,0.4472,0.8367,1.0954,"sustantivo"
"100","pequeño",2.2,1.6,3,0.4472,0.5477,0,"adjetivo"
"101","padre",3,2.6,3,0,0.5477,0,"sustantivo"
"102","gobierno",2,2.6667,2.8333,0.6325,0.5164,0.4082,"sustantivo"
"103","condado",2,1.2,2.2,0,0.4472,1.0954,"sustantivo"
"104","madre",3,2.8,3,0,0.4472,0,"sustantivo"
"105","tanto",2,2.2,1.8,0,0.8367,1.0954,"adverbio"
"106","final",2.4,2.2,2.6,0.5477,0.8367,0.8944,"sustantivo"
"107","día",2.4,2.2,3,0.5477,0.8367,0,"sustantivo"
"108","sueño",2.4,2.2,2.4,0.5477,0.8367,0.8944,"sustantivo"
"109","equipo",2.8,2.4,2.8,0.4472,0.8944,0.4472,"sustantivo"
"110","ciudad",2.4,2.4,3,0.5477,0.8944,0,"sustantivo"
"111","juego",3,3,2.8,0,0,0.4472,"sustantivo"
"112","provincia",2.6,2,2.8,0.5477,0.7071,0.4472,"sustantivo"
"113","gran",2.4,2.2,2.6,0.5477,0.8367,0.5477,"adjetivo"
"114","general",2.2,1.8,1.4,0.4472,0.4472,0.8944,"adjetivo"
"115","niño",2.6,2.8,3,0.8944,0.4472,0,"sustantivo"
"116","mayor",2.3333,2.1667,3,0.5164,0.7528,0,"adjetivo"
"117","serie",2.3333,2.1667,2,0.5164,0.7528,0.8944,"sustantivo"
"118","silencio",2.6667,1.8333,3,0.5164,0.9832,0,"sustantivo"
"119","realidad",2.3333,2.3333,2.6667,0.5164,0.8165,0.8165,"sustantivo"
"120","real",2.3333,2.3333,2.5,0.5164,0.8165,0.5477,"adjetivo"
"121","proyecto",2.5,2.1667,2.6667,0.5477,0.9832,0.5164,"sustantivo"
"122","estudio",2.5,2.5,2.5,0.5477,0.8367,0.5477,"sustantivo"
"123","película",2,2.1429,2.5714,1,0.6901,0.5345,"sustantivo"
"124","mes",2.2,2,2.2,0.4472,0.7071,0.8367,"sustantivo"
"125","sol",2.4,2.6,3,0.8944,0.5477,0,"sustantivo"
"126","diferente",2.6,2.4,2,0.5477,0.5477,0.7071,"adjetivo"
"127","isla",2.8,2,2.8,0.4472,0.7071,0.4472,"sustantivo"
"128","censo",2,2.6,2.2,0,0.5477,0.8367,"sustantivo"
"129","viejo",2.2,2.2,2.4,0.4472,0.8367,0.5477,"adjetivo"
"130","humano",2.8,2.8,2.8,0.4472,0.4472,0.4472,"adjetivo"
"131","pie",2,2.4,2.8,0,0.5477,0.4472,"sustantivo"
"132","orden",2.1667,2.3333,2.5,0.7528,0.8165,0.8367,"sustantivo"
"133","cara",2.4,1.8,2.2,0.5477,0.4472,0.8367,"sustantivo"
"134","rostro",2.2,2,2.2,0.4472,0.7071,0.8367,"sustantivo"
"135","señor",1.8,2.2,2.4,0.4472,0.8367,0.5477,"sustantivo"
"136","música",3,2.6,2.2,0,0.8944,1.0954,"sustantivo"
"137","raza",1.8,2.4,3,0.4472,0.5477,0,"sustantivo"
"138","idea",2.8,3,2.4,0.4472,0,0.8944,"sustantivo"
"139","viento",2.6,2.6,2.6,0.5477,0.8944,0.8944,"sustantivo"
"140","iglesia",1.4,2,3,0.5477,1,0,"sustantivo"
"141","través",2,2,1,0,0,0,"sustantivo"
"142","problema",1.2,2.4,2.4,0.4472,0.8944,0.8944,"sustantivo"
"143","álbum",2.2,2.2,2.6,0.4472,0.8367,0.8944,"sustantivo"
"144","boca",2.4,2.4,3,0.5477,0.5477,0,"sustantivo"
"145","mente",2.6,2.4,2,0.5477,0.5477,1,"sustantivo"
"146","imagen",2.4,2,2.6,0.5477,0,0.8944,"sustantivo"
"147","miedo",1,2.8,2.6,0,0.4472,0.8944,"sustantivo"
"148","época",2,2,2,0,0,1,"sustantivo"
"149","piel",2.6,2,3,0.5477,0,0,"sustantivo"
"150","carrera",2.2,2.8,3,0.4472,0.4472,0,"sustantivo"
"151","brazo",2.2,1.8,3,0.4472,0.4472,0,"sustantivo"
