"","word","media_agrado","media_activacion","media_imaginabilidad","sd_agrado","sd_activacion","sd_imaginabilidad","tipo"
"7164","observaron",2.3333,2.6667,2.6667,0.5164,0.8165,0.8165,"verbo"
"7165","observaré",2.3333,2.6667,2.6667,0.5164,0.8165,0.8165,"verbo"
"7166","observarás",2.3333,2.6667,2.6667,0.5164,0.8165,0.8165,"verbo"
"7167","observará",2.3333,2.6667,2.6667,0.5164,0.8165,0.8165,"verbo"
"7168","observaremos",2.3333,2.6667,2.6667,0.5164,0.8165,0.8165,"verbo"
"7169","observaréis",2.3333,2.6667,2.6667,0.5164,0.8165,0.8165,"verbo"
"7170","observarán",2.3333,2.6667,2.6667,0.5164,0.8165,0.8165,"verbo"
"7171","observaría",2.3333,2.6667,2.6667,0.5164,0.8165,0.8165,"verbo"
"7172","observarías",2.3333,2.6667,2.6667,0.5164,0.8165,0.8165,"verbo"
"7173","observaríamos",2.3333,2.6667,2.6667,0.5164,0.8165,0.8165,"verbo"
"7174","observaríais",2.3333,2.6667,2.6667,0.5164,0.8165,0.8165,"verbo"
"7175","observarían",2.3333,2.6667,2.6667,0.5164,0.8165,0.8165,"verbo"
"7176","observe",2.3333,2.6667,2.6667,0.5164,0.8165,0.8165,"verbo"
"7177","observes",2.3333,2.6667,2.6667,0.5164,0.8165,0.8165,"verbo"
"7178","observemos",2.3333,2.6667,2.6667,0.5164,0.8165,0.8165,"verbo"
"7179","observéis",2.3333,2.6667,2.6667,0.5164,0.8165,0.8165,"verbo"
"7180","observen",2.3333,2.6667,2.6667,0.5164,0.8165,0.8165,"verbo"
"7181","observara",2.3333,2.6667,2.6667,0.5164,0.8165,0.8165,"verbo"
"7182","observaras",2.3333,2.6667,2.6667,0.5164,0.8165,0.8165,"verbo"
"7183","observáramos",2.3333,2.6667,2.6667,0.5164,0.8165,0.8165,"verbo"
"7184","observarais",2.3333,2.6667,2.6667,0.5164,0.8165,0.8165,"verbo"
"7185","observaran",2.3333,2.6667,2.6667,0.5164,0.8165,0.8165,"verbo"
"7186","observase",2.3333,2.6667,2.6667,0.5164,0.8165,0.8165,"verbo"
"7187","observases",2.3333,2.6667,2.6667,0.5164,0.8165,0.8165,"verbo"
"7188","observásemos",2.3333,2.6667,2.6667,0.5164,0.8165,0.8165,"verbo"
"7189","observaseis",2.3333,2.6667,2.6667,0.5164,0.8165,0.8165,"verbo"
"7190","observasen",2.3333,2.6667,2.6667,0.5164,0.8165,0.8165,"verbo"
"7191","observare",2.3333,2.6667,2.6667,0.5164,0.8165,0.8165,"verbo"
"7192","observares",2.3333,2.6667,2.6667,0.5164,0.8165,0.8165,"verbo"
"7193","observáremos",2.3333,2.6667,2.6667,0.5164,0.8165,0.8165,"verbo"
"7194","observareis",2.3333,2.6667,2.6667,0.5164,0.8165,0.8165,"verbo"
"7195","observaren",2.3333,2.6667,2.6667,0.5164,0.8165,0.8165,"verbo"
"7196","observad",2.3333,2.6667,2.6667,0.5164,0.8165,0.8165,"verbo"
"7197","observar",2.3333,2.6667,2.6667,0.5164,0.8165,0.8165,"verbo"
"7198","observando",2.3333,2.6667,2.6667,0.5164,0.8165,0.8165,"verbo"
"7199","sitúo",2,2,2,0,0.8944,0.8944,"verbo"
"7200","sitúas",2,2,2,0,0.8944,0.8944,"verbo"
"7201","sitúa",2,2,2,0,0.8944,0.8944,"verbo"
"7202","situamos",2,2,2,0,0.8944,0.8944,"verbo"
"7203","situáis",2,2,2,0,0.8944,0.8944,"verbo"
"7204","sitúan",2,2,2,0,0.8944,0.8944,"verbo"
"7205","situado",2,2,2,0,0.8944,0.8944,"verbo"
"7206","situaba",2,2,2,0,0.8944,0.8944,"verbo"
"7207","situabas",2,2,2,0,0.8944,0.8944,"verbo"
"7208","situábamos",2,2,2,0,0.8944,0.8944,"verbo"
"7209","situabais",2,2,2,0,0.8944,0.8944,"verbo"
"7210","situaban",2,2,2,0,0.8944,0.8944,"verbo"
"7211","situé",2,2,2,0,0.8944,0.8944,"verbo"
"7212","situaste",2,2,2,0,0.8944,0.8944,"verbo"
"7213","situó",2,2,2,0,0.8944,0.8944,"verbo"
"7214","situasteis",2,2,2,0,0.8944,0.8944,"verbo"
"7215","situaron",2,2,2,0,0.8944,0.8944,"verbo"
"7216","situaré",2,2,2,0,0.8944,0.8944,"verbo"
"7217","situarás",2,2,2,0,0.8944,0.8944,"verbo"
"7218","situará",2,2,2,0,0.8944,0.8944,"verbo"
"7219","situaremos",2,2,2,0,0.8944,0.8944,"verbo"
"7220","situaréis",2,2,2,0,0.8944,0.8944,"verbo"
"7221","situarán",2,2,2,0,0.8944,0.8944,"verbo"
"7222","situaría",2,2,2,0,0.8944,0.8944,"verbo"
"7223","situarías",2,2,2,0,0.8944,0.8944,"verbo"
"7224","situaríamos",2,2,2,0,0.8944,0.8944,"verbo"
"7225","situaríais",2,2,2,0,0.8944,0.8944,"verbo"
"7226","situarían",2,2,2,0,0.8944,0.8944,"verbo"
"7227","sitúe",2,2,2,0,0.8944,0.8944,"verbo"
"7228","sitúes",2,2,2,0,0.8944,0.8944,"verbo"
"7229","situemos",2,2,2,0,0.8944,0.8944,"verbo"
"7230","situéis",2,2,2,0,0.8944,0.8944,"verbo"
"7231","sitúen",2,2,2,0,0.8944,0.8944,"verbo"
"7232","situara",2,2,2,0,0.8944,0.8944,"verbo"
"7233","situaras",2,2,2,0,0.8944,0.8944,"verbo"
"7234","situáramos",2,2,2,0,0.8944,0.8944,"verbo"
"7235","situarais",2,2,2,0,0.8944,0.8944,"verbo"
"7236","situaran",2,2,2,0,0.8944,0.8944,"verbo"
"7237","situase",2,2,2,0,0.8944,0.8944,"verbo"
"7238","situases",2,2,2,0,0.8944,0.8944,"verbo"
"7239","situásemos",2,2,2,0,0.8944,0.8944,"verbo"
"7240","situaseis",2,2,2,0,0.8944,0.8944,"verbo"
"7241","situasen",2,2,2,0,0.8944,0.8944,"verbo"
"7242","situare",2,2,2,0,0.8944,0.8944,"verbo"
"7243","situares",2,2,2,0,0.8944,0.8944,"verbo"
"7244","situáremos",2,2,2,0,0.8944,0.8944,"verbo"
"7245","situareis",2,2,2,0,0.8944,0.8944,"verbo"
"7246","situaren",2,2,2,0,0.8944,0.8944,"verbo"
"7247","situad",2,2,2,0,0.8944,0.8944,"verbo"
"7248","situar",2,2,2,0,0.8944,0.8944,"verbo"
"7249","situando",2,2,2,0,0.8944,0.8944,"verbo"
"7250","lanzo",2.3333,3,2.8333,0.5164,0,0.4082,"verbo"
"7251","lanzas",2.3333,3,2.8333,0.5164,0,0.4082,"verbo"
"7252","lanza",2.3333,3,2.8333,0.5164,0,0.4082,"verbo"
"7253","lanzamos",2.3333,3,2.8333,0.5164,0,0.4082,"verbo"
"7254","lanzáis",2.3333,3,2.8333,0.5164,0,0.4082,"verbo"
"7255","lanzan",2.3333,3,2.8333,0.5164,0,0.4082,"verbo"
"7256","lanzado",2.3333,3,2.8333,0.5164,0,0.4082,"verbo"
"7257","lanzaba",2.3333,3,2.8333,0.5164,0,0.4082,"verbo"
"7258","lanzabas",2.3333,3,2.8333,0.5164,0,0.4082,"verbo"
"7259","lanzábamos",2.3333,3,2.8333,0.5164,0,0.4082,"verbo"
"7260","lanzabais",2.3333,3,2.8333,0.5164,0,0.4082,"verbo"
"7261","lanzaban",2.3333,3,2.8333,0.5164,0,0.4082,"verbo"
"7262","lancé",2.3333,3,2.8333,0.5164,0,0.4082,"verbo"
"7263","lanzaste",2.3333,3,2.8333,0.5164,0,0.4082,"verbo"
"7264","lanzó",2.3333,3,2.8333,0.5164,0,0.4082,"verbo"
"7265","lanzasteis",2.3333,3,2.8333,0.5164,0,0.4082,"verbo"
"7266","lanzaron",2.3333,3,2.8333,0.5164,0,0.4082,"verbo"
"7267","lanzaré",2.3333,3,2.8333,0.5164,0,0.4082,"verbo"
"7268","lanzarás",2.3333,3,2.8333,0.5164,0,0.4082,"verbo"
"7269","lanzará",2.3333,3,2.8333,0.5164,0,0.4082,"verbo"
"7270","lanzaremos",2.3333,3,2.8333,0.5164,0,0.4082,"verbo"
"7271","lanzaréis",2.3333,3,2.8333,0.5164,0,0.4082,"verbo"
"7272","lanzarán",2.3333,3,2.8333,0.5164,0,0.4082,"verbo"
"7273","lanzaría",2.3333,3,2.8333,0.5164,0,0.4082,"verbo"
"7274","lanzarías",2.3333,3,2.8333,0.5164,0,0.4082,"verbo"
"7275","lanzaríamos",2.3333,3,2.8333,0.5164,0,0.4082,"verbo"
"7276","lanzaríais",2.3333,3,2.8333,0.5164,0,0.4082,"verbo"
"7277","lanzarían",2.3333,3,2.8333,0.5164,0,0.4082,"verbo"
"7278","lance",2.3333,3,2.8333,0.5164,0,0.4082,"verbo"
"7279","lances",2.3333,3,2.8333,0.5164,0,0.4082,"verbo"
"7280","lancemos",2.3333,3,2.8333,0.5164,0,0.4082,"verbo"
"7281","lancéis",2.3333,3,2.8333,0.5164,0,0.4082,"verbo"
"7282","lancen",2.3333,3,2.8333,0.5164,0,0.4082,"verbo"
"7283","lanzara",2.3333,3,2.8333,0.5164,0,0.4082,"verbo"
"7284","lanzaras",2.3333,3,2.8333,0.5164,0,0.4082,"verbo"
"7285","lanzáramos",2.3333,3,2.8333,0.5164,0,0.4082,"verbo"
"7286","lanzarais",2.3333,3,2.8333,0.5164,0,0.4082,"verbo"
"7287","lanzaran",2.3333,3,2.8333,0.5164,0,0.4082,"verbo"
"7288","lanzase",2.3333,3,2.8333,0.5164,0,0.4082,"verbo"
"7289","lanzases",2.3333,3,2.8333,0.5164,0,0.4082,"verbo"
"7290","lanzásemos",2.3333,3,2.8333,0.5164,0,0.4082,"verbo"
"7291","lanzaseis",2.3333,3,2.8333,0.5164,0,0.4082,"verbo"
"7292","lanzasen",2.3333,3,2.8333,0.5164,0,0.4082,"verbo"
"7293","lanzare",2.3333,3,2.8333,0.5164,0,0.4082,"verbo"
"7294","lanzares",2.3333,3,2.8333,0.5164,0,0.4082,"verbo"
"7295","lanzáremos",2.3333,3,2.8333,0.5164,0,0.4082,"verbo"
"7296","lanzareis",2.3333,3,2.8333,0.5164,0,0.4082,"verbo"
"7297","lanzaren",2.3333,3,2.8333,0.5164,0,0.4082,"verbo"
"7298","lanzad",2.3333,3,2.8333,0.5164,0,0.4082,"verbo"
"7299","lanzar",2.3333,3,2.8333,0.5164,0,0.4082,"verbo"
"7300","lanzando",2.3333,3,2.8333,0.5164,0,0.4082,"verbo"
"7301","cierro",1.6667,3,3,0.5164,0,0,"verbo"
"7302","cierras",1.6667,3,3,0.5164,0,0,"verbo"
"7303","cierra",1.6667,3,3,0.5164,0,0,"verbo"
"7304","cerramos",1.6667,3,3,0.5164,0,0,"verbo"
"7305","cerráis",1.6667,3,3,0.5164,0,0,"verbo"
"7306","cierran",1.6667,3,3,0.5164,0,0,"verbo"
"7307","cerrado",1.6667,3,3,0.5164,0,0,"verbo"
"7308","cerraba",1.6667,3,3,0.5164,0,0,"verbo"
"7309","cerrabas",1.6667,3,3,0.5164,0,0,"verbo"
"7310","cerrábamos",1.6667,3,3,0.5164,0,0,"verbo"
"7311","cerrabais",1.6667,3,3,0.5164,0,0,"verbo"
"7312","cerraban",1.6667,3,3,0.5164,0,0,"verbo"
"7313","cerré",1.6667,3,3,0.5164,0,0,"verbo"
"7314","cerraste",1.6667,3,3,0.5164,0,0,"verbo"
"7315","cerró",1.6667,3,3,0.5164,0,0,"verbo"
"7316","cerrasteis",1.6667,3,3,0.5164,0,0,"verbo"
"7317","cerraron",1.6667,3,3,0.5164,0,0,"verbo"
"7318","cerraré",1.6667,3,3,0.5164,0,0,"verbo"
"7319","cerrarás",1.6667,3,3,0.5164,0,0,"verbo"
"7320","cerrará",1.6667,3,3,0.5164,0,0,"verbo"
"7321","cerraremos",1.6667,3,3,0.5164,0,0,"verbo"
"7322","cerraréis",1.6667,3,3,0.5164,0,0,"verbo"
"7323","cerrarán",1.6667,3,3,0.5164,0,0,"verbo"
"7324","cerraría",1.6667,3,3,0.5164,0,0,"verbo"
"7325","cerrarías",1.6667,3,3,0.5164,0,0,"verbo"
"7326","cerraríamos",1.6667,3,3,0.5164,0,0,"verbo"
"7327","cerraríais",1.6667,3,3,0.5164,0,0,"verbo"
"7328","cerrarían",1.6667,3,3,0.5164,0,0,"verbo"
"7329","cierre",1.6667,3,3,0.5164,0,0,"verbo"
"7330","cierres",1.6667,3,3,0.5164,0,0,"verbo"
"7331","cerremos",1.6667,3,3,0.5164,0,0,"verbo"
"7332","cerréis",1.6667,3,3,0.5164,0,0,"verbo"
"7333","cierren",1.6667,3,3,0.5164,0,0,"verbo"
"7334","cerrara",1.6667,3,3,0.5164,0,0,"verbo"
"7335","cerraras",1.6667,3,3,0.5164,0,0,"verbo"
"7336","cerráramos",1.6667,3,3,0.5164,0,0,"verbo"
"7337","cerrarais",1.6667,3,3,0.5164,0,0,"verbo"
"7338","cerraran",1.6667,3,3,0.5164,0,0,"verbo"
"7339","cerrase",1.6667,3,3,0.5164,0,0,"verbo"
"7340","cerrases",1.6667,3,3,0.5164,0,0,"verbo"
"7341","cerrásemos",1.6667,3,3,0.5164,0,0,"verbo"
"7342","cerraseis",1.6667,3,3,0.5164,0,0,"verbo"
"7343","cerrasen",1.6667,3,3,0.5164,0,0,"verbo"
"7344","cerrare",1.6667,3,3,0.5164,0,0,"verbo"
"7345","cerrares",1.6667,3,3,0.5164,0,0,"verbo"
"7346","cerráremos",1.6667,3,3,0.5164,0,0,"verbo"
"7347","cerrareis",1.6667,3,3,0.5164,0,0,"verbo"
"7348","cerraren",1.6667,3,3,0.5164,0,0,"verbo"
"7349","cerrad",1.6667,3,3,0.5164,0,0,"verbo"
"7350","cerrar",1.6667,3,3,0.5164,0,0,"verbo"
"7351","cerrando",1.6667,3,3,0.5164,0,0,"verbo"
"7352","necesito",2.4,3,2,0.5477,0,0.7071,"verbo"
"7353","necesitas",2.4,3,2,0.5477,0,0.7071,"verbo"
"7354","necesita",2.4,3,2,0.5477,0,0.7071,"verbo"
"7355","necesitamos",2.4,3,2,0.5477,0,0.7071,"verbo"
"7356","necesitáis",2.4,3,2,0.5477,0,0.7071,"verbo"
"7357","necesitan",2.4,3,2,0.5477,0,0.7071,"verbo"
"7358","necesitado",2.4,3,2,0.5477,0,0.7071,"verbo"
"7359","necesitaba",2.4,3,2,0.5477,0,0.7071,"verbo"
"7360","necesitabas",2.4,3,2,0.5477,0,0.7071,"verbo"
"7361","necesitábamos",2.4,3,2,0.5477,0,0.7071,"verbo"
"7362","necesitabais",2.4,3,2,0.5477,0,0.7071,"verbo"
"7363","necesitaban",2.4,3,2,0.5477,0,0.7071,"verbo"
"7364","necesité",2.4,3,2,0.5477,0,0.7071,"verbo"
"7365","necesitaste",2.4,3,2,0.5477,0,0.7071,"verbo"
"7366","necesitó",2.4,3,2,0.5477,0,0.7071,"verbo"
"7367","necesitasteis",2.4,3,2,0.5477,0,0.7071,"verbo"
"7368","necesitaron",2.4,3,2,0.5477,0,0.7071,"verbo"
"7369","necesitaré",2.4,3,2,0.5477,0,0.7071,"verbo"
"7370","necesitarás",2.4,3,2,0.5477,0,0.7071,"verbo"
"7371","necesitará",2.4,3,2,0.5477,0,0.7071,"verbo"
"7372","necesitaremos",2.4,3,2,0.5477,0,0.7071,"verbo"
"7373","necesitaréis",2.4,3,2,0.5477,0,0.7071,"verbo"
"7374","necesitarán",2.4,3,2,0.5477,0,0.7071,"verbo"
"7375","necesitaría",2.4,3,2,0.5477,0,0.7071,"verbo"
"7376","necesitarías",2.4,3,2,0.5477,0,0.7071,"verbo"
"7377","necesitaríamos",2.4,3,2,0.5477,0,0.7071,"verbo"
"7378","necesitaríais",2.4,3,2,0.5477,0,0.7071,"verbo"
"7379","necesitarían",2.4,3,2,0.5477,0,0.7071,"verbo"
"7380","necesite",2.4,3,2,0.5477,0,0.7071,"verbo"
"7381","necesites",2.4,3,2,0.5477,0,0.7071,"verbo"
"7382","necesitemos",2.4,3,2,0.5477,0,0.7071,"verbo"
"7383","necesitéis",2.4,3,2,0.5477,0,0.7071,"verbo"
"7384","necesiten",2.4,3,2,0.5477,0,0.7071,"verbo"
"7385","necesitara",2.4,3,2,0.5477,0,0.7071,"verbo"
"7386","necesitaras",2.4,3,2,0.5477,0,0.7071,"verbo"
"7387","necesitáramos",2.4,3,2,0.5477,0,0.7071,"verbo"
"7388","necesitarais",2.4,3,2,0.5477,0,0.7071,"verbo"
"7389","necesitaran",2.4,3,2,0.5477,0,0.7071,"verbo"
"7390","necesitase",2.4,3,2,0.5477,0,0.7071,"verbo"
"7391","necesitases",2.4,3,2,0.5477,0,0.7071,"verbo"
"7392","necesitásemos",2.4,3,2,0.5477,0,0.7071,"verbo"
"7393","necesitaseis",2.4,3,2,0.5477,0,0.7071,"verbo"
"7394","necesitasen",2.4,3,2,0.5477,0,0.7071,"verbo"
"7395","necesitare",2.4,3,2,0.5477,0,0.7071,"verbo"
"7396","necesitares",2.4,3,2,0.5477,0,0.7071,"verbo"
"7397","necesitáremos",2.4,3,2,0.5477,0,0.7071,"verbo"
"7398","necesitareis",2.4,3,2,0.5477,0,0.7071,"verbo"
"7399","necesitaren",2.4,3,2,0.5477,0,0.7071,"verbo"
"7400","necesitad",2.4,3,2,0.5477,0,0.7071,"verbo"
"7401","necesitar",2.4,3,2,0.5477,0,0.7071,"verbo"
"7402","necesitando",2.4,3,2,0.5477,0,0.7071,"verbo"
"7403","regreso",2.4,3,2.8,0.8944,0,0.4472,"verbo"
"7404","regresas",2.4,3,2.8,0.8944,0,0.4472,"verbo"
"7405","regresa",2.4,3,2.8,0.8944,0,0.4472,"verbo"
"7406","regresamos",2.4,3,2.8,0.8944,0,0.4472,"verbo"
"7407","regresáis",2.4,3,2.8,0.8944,0,0.4472,"verbo"
"7408","regresan",2.4,3,2.8,0.8944,0,0.4472,"verbo"
"7409","regresado",2.4,3,2.8,0.8944,0,0.4472,"verbo"
"7410","regresaba",2.4,3,2.8,0.8944,0,0.4472,"verbo"
"7411","regresabas",2.4,3,2.8,0.8944,0,0.4472,"verbo"
"7412","regresábamos",2.4,3,2.8,0.8944,0,0.4472,"verbo"
"7413","regresabais",2.4,3,2.8,0.8944,0,0.4472,"verbo"
"7414","regresaban",2.4,3,2.8,0.8944,0,0.4472,"verbo"
"7415","regresé",2.4,3,2.8,0.8944,0,0.4472,"verbo"
"7416","regresaste",2.4,3,2.8,0.8944,0,0.4472,"verbo"
"7417","regresó",2.4,3,2.8,0.8944,0,0.4472,"verbo"
"7418","regresasteis",2.4,3,2.8,0.8944,0,0.4472,"verbo"
"7419","regresaron",2.4,3,2.8,0.8944,0,0.4472,"verbo"
"7420","regresaré",2.4,3,2.8,0.8944,0,0.4472,"verbo"
"7421","regresarás",2.4,3,2.8,0.8944,0,0.4472,"verbo"
"7422","regresará",2.4,3,2.8,0.8944,0,0.4472,"verbo"
"7423","regresaremos",2.4,3,2.8,0.8944,0,0.4472,"verbo"
"7424","regresaréis",2.4,3,2.8,0.8944,0,0.4472,"verbo"
"7425","regresarán",2.4,3,2.8,0.8944,0,0.4472,"verbo"
"7426","regresaría",2.4,3,2.8,0.8944,0,0.4472,"verbo"
"7427","regresarías",2.4,3,2.8,0.8944,0,0.4472,"verbo"
"7428","regresaríamos",2.4,3,2.8,0.8944,0,0.4472,"verbo"
"7429","regresaríais",2.4,3,2.8,0.8944,0,0.4472,"verbo"
"7430","regresarían",2.4,3,2.8,0.8944,0,0.4472,"verbo"
"7431","regrese",2.4,3,2.8,0.8944,0,0.4472,"verbo"
"7432","regreses",2.4,3,2.8,0.8944,0,0.4472,"verbo"
"7433","regresemos",2.4,3,2.8,0.8944,0,0.4472,"verbo"
"7434","regreséis",2.4,3,2.8,0.8944,0,0.4472,"verbo"
"7435","regresen",2.4,3,2.8,0.8944,0,0.4472,"verbo"
"7436","regresara",2.4,3,2.8,0.8944,0,0.4472,"verbo"
"7437","regresaras",2.4,3,2.8,0.8944,0,0.4472,"verbo"
"7438","regresáramos",2.4,3,2.8,0.8944,0,0.4472,"verbo"
"7439","regresarais",2.4,3,2.8,0.8944,0,0.4472,"verbo"
"7440","regresaran",2.4,3,2.8,0.8944,0,0.4472,"verbo"
"7441","regresase",2.4,3,2.8,0.8944,0,0.4472,"verbo"
"7442","regresases",2.4,3,2.8,0.8944,0,0.4472,"verbo"
"7443","regresásemos",2.4,3,2.8,0.8944,0,0.4472,"verbo"
"7444","regresaseis",2.4,3,2.8,0.8944,0,0.4472,"verbo"
"7445","regresasen",2.4,3,2.8,0.8944,0,0.4472,"verbo"
"7446","regresare",2.4,3,2.8,0.8944,0,0.4472,"verbo"
"7447","regresares",2.4,3,2.8,0.8944,0,0.4472,"verbo"
"7448","regresáremos",2.4,3,2.8,0.8944,0,0.4472,"verbo"
"7449","regresareis",2.4,3,2.8,0.8944,0,0.4472,"verbo"
"7450","regresaren",2.4,3,2.8,0.8944,0,0.4472,"verbo"
"7451","regresad",2.4,3,2.8,0.8944,0,0.4472,"verbo"
"7452","regresar",2.4,3,2.8,0.8944,0,0.4472,"verbo"
"7453","regresando",2.4,3,2.8,0.8944,0,0.4472,"verbo"
"7454","destaco",2.6,2.8,2.2,0.5477,0.4472,0.8367,"verbo"
"7455","destacas",2.6,2.8,2.2,0.5477,0.4472,0.8367,"verbo"
"7456","destaca",2.6,2.8,2.2,0.5477,0.4472,0.8367,"verbo"
"7457","destacamos",2.6,2.8,2.2,0.5477,0.4472,0.8367,"verbo"
"7458","destacáis",2.6,2.8,2.2,0.5477,0.4472,0.8367,"verbo"
"7459","destacan",2.6,2.8,2.2,0.5477,0.4472,0.8367,"verbo"
"7460","destacado",2.6,2.8,2.2,0.5477,0.4472,0.8367,"verbo"
"7461","destacaba",2.6,2.8,2.2,0.5477,0.4472,0.8367,"verbo"
"7462","destacabas",2.6,2.8,2.2,0.5477,0.4472,0.8367,"verbo"
"7463","destacábamos",2.6,2.8,2.2,0.5477,0.4472,0.8367,"verbo"
"7464","destacabais",2.6,2.8,2.2,0.5477,0.4472,0.8367,"verbo"
"7465","destacaban",2.6,2.8,2.2,0.5477,0.4472,0.8367,"verbo"
"7466","destaqué",2.6,2.8,2.2,0.5477,0.4472,0.8367,"verbo"
"7467","destacaste",2.6,2.8,2.2,0.5477,0.4472,0.8367,"verbo"
"7468","destacó",2.6,2.8,2.2,0.5477,0.4472,0.8367,"verbo"
"7469","destacasteis",2.6,2.8,2.2,0.5477,0.4472,0.8367,"verbo"
"7470","destacaron",2.6,2.8,2.2,0.5477,0.4472,0.8367,"verbo"
"7471","destacaré",2.6,2.8,2.2,0.5477,0.4472,0.8367,"verbo"
"7472","destacarás",2.6,2.8,2.2,0.5477,0.4472,0.8367,"verbo"
"7473","destacará",2.6,2.8,2.2,0.5477,0.4472,0.8367,"verbo"
"7474","destacaremos",2.6,2.8,2.2,0.5477,0.4472,0.8367,"verbo"
"7475","destacaréis",2.6,2.8,2.2,0.5477,0.4472,0.8367,"verbo"
"7476","destacarán",2.6,2.8,2.2,0.5477,0.4472,0.8367,"verbo"
"7477","destacaría",2.6,2.8,2.2,0.5477,0.4472,0.8367,"verbo"
"7478","destacarías",2.6,2.8,2.2,0.5477,0.4472,0.8367,"verbo"
"7479","destacaríamos",2.6,2.8,2.2,0.5477,0.4472,0.8367,"verbo"
"7480","destacaríais",2.6,2.8,2.2,0.5477,0.4472,0.8367,"verbo"
"7481","destacarían",2.6,2.8,2.2,0.5477,0.4472,0.8367,"verbo"
"7482","destaque",2.6,2.8,2.2,0.5477,0.4472,0.8367,"verbo"
"7483","destaques",2.6,2.8,2.2,0.5477,0.4472,0.8367,"verbo"
"7484","destaquemos",2.6,2.8,2.2,0.5477,0.4472,0.8367,"verbo"
"7485","destaquéis",2.6,2.8,2.2,0.5477,0.4472,0.8367,"verbo"
"7486","destaquen",2.6,2.8,2.2,0.5477,0.4472,0.8367,"verbo"
"7487","destacara",2.6,2.8,2.2,0.5477,0.4472,0.8367,"verbo"
"7488","destacaras",2.6,2.8,2.2,0.5477,0.4472,0.8367,"verbo"
"7489","destacáramos",2.6,2.8,2.2,0.5477,0.4472,0.8367,"verbo"
"7490","destacarais",2.6,2.8,2.2,0.5477,0.4472,0.8367,"verbo"
"7491","destacaran",2.6,2.8,2.2,0.5477,0.4472,0.8367,"verbo"
"7492","destacase",2.6,2.8,2.2,0.5477,0.4472,0.8367,"verbo"
"7493","destacases",2.6,2.8,2.2,0.5477,0.4472,0.8367,"verbo"
"7494","destacásemos",2.6,2.8,2.2,0.5477,0.4472,0.8367,"verbo"
"7495","destacaseis",2.6,2.8,2.2,0.5477,0.4472,0.8367,"verbo"
"7496","destacasen",2.6,2.8,2.2,0.5477,0.4472,0.8367,"verbo"
"7497","destacare",2.6,2.8,2.2,0.5477,0.4472,0.8367,"verbo"
"7498","destacares",2.6,2.8,2.2,0.5477,0.4472,0.8367,"verbo"
"7499","destacáremos",2.6,2.8,2.2,0.5477,0.4472,0.8367,"verbo"
"7500","destacareis",2.6,2.8,2.2,0.5477,0.4472,0.8367,"verbo"
"7501","destacaren",2.6,2.8,2.2,0.5477,0.4472,0.8367,"verbo"
"7502","destacad",2.6,2.8,2.2,0.5477,0.4472,0.8367,"verbo"
"7503","destacar",2.6,2.8,2.2,0.5477,0.4472,0.8367,"verbo"
"7504","destacando",2.6,2.8,2.2,0.5477,0.4472,0.8367,"verbo"
"7505","descubro",NA,NA,NA,NA,NA,NA,NA
"7506","descubres",NA,NA,NA,NA,NA,NA,NA
"7507","descubre",NA,NA,NA,NA,NA,NA,NA
"7508","descubrimos",NA,NA,NA,NA,NA,NA,NA
"7509","descubrís",NA,NA,NA,NA,NA,NA,NA
"7510","descubren",NA,NA,NA,NA,NA,NA,NA
"7511","descubierto",NA,NA,NA,NA,NA,NA,NA
"7512","descubría",NA,NA,NA,NA,NA,NA,NA
"7513","descubrías",NA,NA,NA,NA,NA,NA,NA
"7514","descubríamos",NA,NA,NA,NA,NA,NA,NA
"7515","descubríais",NA,NA,NA,NA,NA,NA,NA
"7516","descubrían",NA,NA,NA,NA,NA,NA,NA
"7517","descubrí",NA,NA,NA,NA,NA,NA,NA
"7518","descubriste",NA,NA,NA,NA,NA,NA,NA
"7519","descubrió",NA,NA,NA,NA,NA,NA,NA
"7520","descubristeis",NA,NA,NA,NA,NA,NA,NA
"7521","descubrieron",NA,NA,NA,NA,NA,NA,NA
"7522","descubriré",NA,NA,NA,NA,NA,NA,NA
"7523","descubrirás",NA,NA,NA,NA,NA,NA,NA
"7524","descubrirá",NA,NA,NA,NA,NA,NA,NA
"7525","descubriremos",NA,NA,NA,NA,NA,NA,NA
"7526","descubriréis",NA,NA,NA,NA,NA,NA,NA
"7527","descubrirán",NA,NA,NA,NA,NA,NA,NA
"7528","descubriría",NA,NA,NA,NA,NA,NA,NA
"7529","descubrirías",NA,NA,NA,NA,NA,NA,NA
"7530","descubriríamos",NA,NA,NA,NA,NA,NA,NA
"7531","descubriríais",NA,NA,NA,NA,NA,NA,NA
"7532","descubrirían",NA,NA,NA,NA,NA,NA,NA
"7533","descubra",NA,NA,NA,NA,NA,NA,NA
"7534","descubras",NA,NA,NA,NA,NA,NA,NA
"7535","descubramos",NA,NA,NA,NA,NA,NA,NA
"7536","descubráis",NA,NA,NA,NA,NA,NA,NA
"7537","descubran",NA,NA,NA,NA,NA,NA,NA
"7538","descubriera",NA,NA,NA,NA,NA,NA,NA
"7539","descubrieras",NA,NA,NA,NA,NA,NA,NA
"7540","descubriéramos",NA,NA,NA,NA,NA,NA,NA
"7541","descubrierais",NA,NA,NA,NA,NA,NA,NA
"7542","descubrieran",NA,NA,NA,NA,NA,NA,NA
"7543","descubriese",NA,NA,NA,NA,NA,NA,NA
